artist,author,gernes,heart,name,star,view,words
Nao Watanuki,Namekojirushi,"Action,Adventure,Comedy,Fantasy,Harem,Mecha,Romance,Science Fiction,Shounen,Supernatural", 774 ,Ore ga Heroine o Tasukesugite Sekai ga Little Mokushiroku!?,4.8,120212,211162
八美☆わん,Shiki; しき,"Comedy,Fantasy,Romance,School Life,Shoujo,Slice of Life", 51 ,Jishou akuyaku reijōna konyakusha no kansatsu kiroku,5,5858,2435
Kawaku,CK,"Action,Adventure,Comedy,Drama,Fantasy,Isekai,Romance,School Life,Shounen,Slice of Life", 775 ,"Botsuraku Youtei Nanode, Kajishokunin wo Mezasu",4.7,195072,149149
Hanekoto,Southern Terrace,"Action,Comedy,Drama,Fantasy,Harem,Isekai,Magic,Mystery,Romance,School Life,Slice of Life,Supernatural,Web Novel,Adapted to Manga", 1102 ,Class Ga Isekai Shoukan Sareta Naka Ore Dake Nokotta n Desu Ga,4.8,115185,39074
Runa,Mishima Yomu,"Action,Adventure,Comedy,Drama,Fantasy,Martial Arts,Romance,School Life,Shounen,Slice of Life,Tragedy", 1084 ,Dragoon,4.8,474684,358575
Miyama-Zero,Kasuga Mikage,"Comedy,Historical,Romance,Harem", 295 ,Oda Nobuna no Yabou,4.9,113472,213528
Yoshizawa Megane,Tsukiyono Furudanuki,"Action,Adventure,Comedy,Fantasy,Isekai,Romance,School Life,Shounen,Slice of Life,Web Novel,Harem,Super Power", 2334 ,Kikanshita Yuusha no Gojitsudan,4.8,1282207,460475
Booota,Shimesaba,"Comedy,Romance,Seinen,Slice of Life", 1033 ,Hige Wo Soru. Soshite Joshikosei Wo Hiro.,4.9,229921,61282
None,Phế Thiết Hành Giả,"Chinese Novel,Comedy,Harem,School Life,Shounen,Slice of Life,Web Novel", 211 ,Bắt nạt con gái kẻ thù có sai không?,5,56126,51668
None,Onhu,"Action,Adventure,Fantasy,Korean Novel,Mature,Psychological,Supernatural,Web Novel", 120 ,Dungeon Hunter,4.8,20570,55812
Kawakami Taiki (magaka),Fuse,"Action,Adventure,Comedy,Drama,Fantasy,Gender Bender,Shounen,Supernatural,Isekai,Slice of Life,Web Novel,Magic,Adapted to Anime,Adapted to Manga", 5988 ,Tensei Shitara Slime datta ken,4.9,7925723,495527
Shiino Sera,Nenjuu Mugichatarou,"Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Shoujo,Slice of Life,Web Novel", 898 ,Maou no Musume wa Sekai Saikyou Dakedo Hikineet!,4.9,185250,108421
None,Kusutani Tasuku,"Mystery,One shot", 48 ,Có một thủ thuật tự sự trong câu chuyện này,5,13363,2209
None,Phantom Of The Moonlit Night 월야-팬텀,"Action,Adventure,Comedy,Fantasy,Seinen,Slice of Life", 307 ,Running Away From The Hero! (Remake),4.6,38675,23007
