artist,author,gernes,heart,name,star,view,words
Houmitsu,Yorozuya Tadahito,"Adventure,Fantasy", 193 ,"Tabi ni Deyou, Horobiyuku Sekai no Hate Made",5,38076,81387
Artumph - 乾 和 音,Ayano - 絢 乃,"Adapted to Manga,Adult,Ecchi,Harem,Isekai,Web Novel", 1563 ,Isekai Yurutto Survival Seikatsu ~Gakkou no Minna to Isekai no Mujintou ni Ten-i Shita Kedo Ore Dake Rakushou Desu~,4.8,372342,124162
Uruu Gekka,Suzuki Daisuke,"Comedy,Harem,Incest,School Life,Romance", 183 ,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,5,53103,74943
Tetsuo (415),Mikage Eiji,"Drama,Mystery,Romance", 746 ,Utsuro no Hako to Zero no Maria,4.8,151234,333710
イセ川ヤスタカ,ちんくるり,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Web Novel", 442 ,Using Gacha to Increase My Companions and to Create the Strongest Girls’ Army Corps,4.6,76227,29845
None,Nanasawa Matari,"Action,Fantasy,Mature,Web Novel", 237 ,Shinigami wo Tabeta Shoujo,4.9,61548,139428
Mahaya,Kamachi Kazuma,"Action,Comedy,Drama,Fantasy,Harem,Romance,Science Fiction,Shounen", 148 ,My Vampire Older Sister and Zombie Little Sister,4.5,15431,22258
None,Kataoka Naotaro,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Slice of Life,Tragedy,Web Novel", 353 ,Reincarnation into the Barrier Master,4.4,80397,21121
None,글쟁이S,"Action,Adult,Adventure,Fantasy", 59 ,Hunter of the Ruined World,5,13630,8056
Katsumi Enami,Junpei Inuzuka,"Adventure,Fantasy,Mystery,Slice of Life", 61 ,Isekai Shokudou,5,10822,9367
Lack,Ido Masayoshi,"Action,Adventure,Fantasy,Romance", 541 ,Yobidasareta Satsuriku-sha,3.8,95009,56631
Mitsuki Yano,Touwa Akatsuki,"Action,Adventure,Comedy,Fantasy,Harem,Mature,Romance,Ecchi", 435 ,"Commushou no Ore ga, Koushou Skill ni Zenfurishite Tenseishita Kekka",4.5,47113,7177
