artist,author,gernes,heart,name,star,view,words
None,紙城境介,"Drama,Fantasy,Harem,Horror,Psychological,Romance,Web Novel", 222 ,"Do You Think You Can Run After Reincarnating, Nii-san?",4.2,34868,9757
Natsu Natsuna,Natsuki Aoi,"Fantasy,Shoujo,Adventure,Comedy,Slice of Life,Super Power,Shounen,Web Novel", 329 ,Tenseisha wa Cheat o Nozomanai,4.7,60428,135944
None,IDLE FISH GOES ASHORE,"Adventure,Fantasy,Harem,Web Novel,Action,Comedy,Mystery,Romance,School Life,Shounen,Supernatural", 309 ,NEET Receives a Dating Sim Game Leveling System,4.7,213877,95392
None,春野隠者,"Action,Adventure,Drama,Fantasy,Mature,Romance,Seinen,Web Novel", 130 ,Goblin Kingdom,4.9,34062,8790
Virginia Nitouhei,Natsukana Semikawa,"Adventure,Isekai,Shounen,Supernatural,Web Novel", 28 ,Isekai Izakaya Nobu!,0,9828,8528
Chise Kamoi,Nagomu Torii,"Action,Fantasy,Romance,School Life", 56 ,Kyoukai no Kanata,5,11402,5709
N/A,McEnroe,"Action,Adventure,Fantasy,Romance,Web Novel", 100 ,The book eating magician,4.5,20808,7312
Sanba Sou,Uno Bokuto,"Action,Adventure,Fantasy", 228 ,Nejimaki Seirei Senki - Tenkyou no Alderamin,4.6,38021,83040
None,Kurokata/くろかた,"Action,Adventure,Comedy,Fantasy,Web Novel", 196 ,Chiyu Mahou no Machigatta Tsukaikata ~Senjou wo Kakeru Kaifuku Youin~,4.8,24598,11857
himesuz,Gamei Hitsuji,"Action,Adventure,Fantasy,Harem,Romance,Shounen", 946 ,Isekai Mahou wa Okureteru!,4.8,273973,134353
Subachi ( すばち ),Miki Nazuna ( 三木なずな ),"Action,Adventure,Comedy,Fantasy,Harem,Mystery,Romance,Slice of Life,Supernatural,Web Novel", 283 ,"Although I Am Only Level 1, but with This Unique Skill, I Am the Strongest",4,38632,17068
None,富士田けやき,"Action,Drama,Mature,Psychological,Supernatural,Tragedy,Web Novel", 155 ,Tower of Karma,4.5,20086,11167
None,HIRO,"Comedy,Drama,Harem,Romance,School Life,Shounen,Slice of Life,Web Novel", 73 ,Loner Harem Meister,5,9873,4174
Kawaku,CK,"Comedy,Fantasy,Romance,School Life,Shounen,Slice of Life", 284 ,"Botsuraku Youtei Nanode, Kajishokunin wo Mezasu",4.9,64749,56009
Asakura Hayate,Akafuku Yamato,"Comedy,Ecchi,School Life,Harem", 678 ,Boku no Bungeibu ni Bitch ga Iru Nante Arienai (1-5),4.9,227569,296054
Ryo Ueda,Ukise Kasako,"Adventure,Comedy,Fantasy,Romance,School Life", 278 ,The Latest Game Is Too Amazing !,4.8,18798,19737
None,Takahashi An,"Action,Adventure,Comedy,Fantasy,Harem,Slice of Life,Web Novel", 335 ,Reincarnated as a Villager ~ Strongest Slow-life,5,31852,9884
Akira Ueda - 植田 亮,Miki Nazuna - 三木なずな,"Action,Adventure,Comedy,Fantasy,Harem,Romance,Shounen,Slice of Life", 762 ,Charging Magic with a Smile,4.8,215593,50408
None,Shu Masatake,"Action,Adventure,Comedy,Drama,Fantasy,Mature,Romance,Tragedy,Web Novel", 468 ,Mahou no Kuni no Madan,5,58882,69947
Farumaro,Yukidaruma,"Adventure,Comedy,Drama,Fantasy,Harem,Psychological,Romance,Slice of Life", 219 ,Hisshou Dungeon Unei Houhou,2.5,21446,8557
Enami Katsumi,Narita Ryohgo,"Action,Adventure,Comedy,Drama,Horror,Mature,Psychological,Romance,Supernatural,Adapted to Anime,Adapted to Manga,Adult", 50 ,Baccano!,5,9938,1547
None,Kazanami Shinogi,"Action,Adventure,Drama,Fantasy,Harem,Super Power,Suspense", 597 ,The New Gate,4.5,273347,222661
Yukiwo (ユキヲ),Kasukabe Takeru (春日部タケル),"Comedy,Ecchi,Harem,Romance,School Life", 178 ,"Ore No Nounai Sentakushi Ga, Gakuen Lovecome O Zenryoku De Jama Shiteiru (Từ đoạn sau anime)",4.9,24937,50542
None,Riku Misora,"Action,Ecchi,Harem,School Life,Supernatural,Tragedy", 105 ,Ultimate anti-hero,4.8,18314,6284
